name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Monsters in My Room,521893,False,0,Martin Shamoonpour,Tehransaranieh,0.314,0.257,2,-17.704,0.0664,0.898,0.112,0.077,0.0478,88.706,3.0,iranian
Below the Thunders of the Upper Deep,350695,False,10,Alphaxone;Onasander;protoU,Shadows of Forgotten Legends,0.167,0.304,8,-22.959,0.0485,0.512,0.89,0.149,0.133,126.638,4.0,iranian
To My Knees (Live),473293,False,41,Hillsong Young & Free,Youth Revival,0.503,0.315,0,-10.545,0.0252,0.436,1.31e-05,0.712,0.184,99.073,3.0,iranian
Dignity,314183,False,2,Kahtmayan,Resurrection 1,0.602,0.954,6,-4.389,0.043,0.000487,0.000916,0.363,0.185,119.961,4.0,iranian
Floating Spheres,235000,False,11,Alphaxone,Chronosphere,0.151,0.215,2,-17.155,0.0446,0.12,0.448,0.087,0.034,106.592,3.0,iranian
94 - Instrumental,137855,False,0,Soheil Soheili;Roj,94 unleashed.,0.377,0.32,10,-13.342,0.0295,0.952,0.579,0.117,0.0344,93.675,4.0,iranian
Did You Get My Message?,266040,True,1,Confess,In Pursuit of Dreams,0.502,0.988,2,-3.033,0.0923,0.000572,0.0,0.196,0.455,130.029,4.0,iranian
Your Mirror Stage Was Spotlighted,480500,False,0,Rojin Sharafi,Kariz,0.113,0.764,10,-12.006,0.0618,0.511,0.843,0.063,0.112,85.619,4.0,iranian
Omniscient,487637,False,6,XERXES THE DARK,Tomb of Seers,0.0816,0.197,2,-23.846,0.0403,0.475,0.865,0.0812,0.037,78.029,3.0,iranian
Ikigami,254360,False,0,Idlefon,Intensive Collectivity Known As City,0.615,0.42,5,-15.013,0.219,0.609,0.731,0.0958,0.21,167.943,4.0,iranian
The Tree,299769,False,2,Kahtmayan,Resurrection 1,0.392,0.734,7,-4.673,0.0356,0.0131,0.0113,0.228,0.0888,147.591,4.0,iranian
