duration,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,n_beats,n_bars
398,42,0.468,0.867,4,-6.239,0.126,0.0582,0.0,0.222,0.834,83.884,546.0,136.0
223,55,0.572,0.777,1,-3.899,0.0808,0.0029,0.0,0.0742,0.703,124.829,450.0,113.0
345,12,0.624,0.876,11,-7.885,0.0426,0.00955,0.818,0.0992,0.322,149.982,858.0,215.0
324,44,0.701,0.94,4,-2.963,0.0497,0.0619,0.0288,0.0962,0.945,139.497,752.0,250.0
418,53,0.648,0.414,2,-10.933,0.0314,0.26,1.72e-05,0.0748,0.583,143.971,995.0,249.0
209,45,0.649,0.59,0,-5.164,0.024,0.00137,0.0,0.129,0.731,99.984,339.0,84.0
331,45,0.555,0.921,10,-5.541,0.104,0.253,3.31e-06,0.101,0.814,177.986,980.0,247.0
91,13,0.58,0.642,6,-6.986,0.0647,0.357,0.785,0.0798,0.0504,115.0,159.0,39.0
164,6,0.549,0.396,5,-9.096,0.0689,0.749,0.8,0.0769,0.591,87.614,235.0,58.0
294,18,0.164,0.856,9,-4.534,0.0599,2.66e-06,0.0247,0.24,0.163,130.919,632.0,159.0
244,48,0.617,0.354,9,-9.965,0.0352,0.483,0.0,0.2,0.579,184.181,732.0,182.0
236,58,0.639,0.888,11,-4.671,0.106,0.233,0.0,0.0965,0.859,165.93,628.0,157.0
249,44,0.525,0.718,2,-5.464,0.0433,0.0427,0.0,0.147,0.288,90.016,370.0,92.0
331,0,0.537,0.957,11,-4.69,0.0457,0.00146,0.895,0.325,0.799,138.001,752.0,190.0
272,11,0.892,0.954,6,-4.641,0.0333,0.000981,0.78,0.124,0.928,121.989,545.0,136.0
179,22,0.851,0.498,5,-7.259,0.0427,0.741,0.888,0.162,0.896,129.1,386.0,96.0
308,28,0.636,0.412,1,-12.404,0.0303,0.173,0.0,0.112,0.327,114.037,577.0,143.0
381,48,0.666,0.321,1,-11.083,0.0843,0.000576,0.798,0.0905,0.399,119.999,758.0,191.0
415,38,0.922,0.671,2,-4.844,0.043,0.0873,0.0,0.255,0.96,127.988,882.0,219.0
202,36,0.451,0.388,9,-14.048,0.0363,0.108,0.0687,0.139,0.127,137.848,464.0,155.0
192,50,0.562,0.912,2,-4.461,0.0383,0.0032,0.0,0.115,0.55,120.021,384.0,95.0
230,20,0.741,0.903,0,-5.115,0.0514,0.0167,0.000348,0.128,0.968,135.972,512.0,129.0
202,0,0.587,0.214,8,-10.045,0.0273,0.773,0.0,0.11,0.217,139.847,460.0,113.0
312,0,0.466,0.981,9,-1.142,0.0797,0.00142,7.21e-05,0.0861,0.226,127.014,654.0,164.0
140,22,0.715,0.607,6,-7.759,0.0626,0.0232,0.0,0.168,0.409,171.993,396.0,99.0
344,41,0.47,0.693,10,-5.803,0.0443,0.153,0.0,0.115,0.115,129.139,724.0,182.0
225,47,0.653,0.401,5,-12.029,0.0279,0.893,0.143,0.109,0.311,129.988,481.0,120.0
297,22,0.646,0.651,7,-10.789,0.0328,0.0025,0.739,0.17,0.672,133.985,658.0,165.0
232,37,0.623,0.698,3,-5.808,0.0271,0.0244,0.000168,0.355,0.502,143.318,544.0,135.0
197,37,0.511,0.97,5,-2.299,0.0531,0.000337,1.39e-05,0.402,0.27,160.044,513.0,130.0
213,0,0.505,0.854,6,-4.167,0.0851,0.000101,0.00325,0.0556,0.319,96.023,341.0,84.0
272,47,0.354,0.75,3,-4.373,0.0506,0.364,0.0,0.0875,0.487,149.673,589.0,147.0
233,11,0.533,0.484,10,-13.175,0.0356,0.685,0.501,0.147,0.229,92.982,356.0,88.0
115,0,0.329,0.649,1,-10.623,0.11,0.971,0.869,0.103,0.136,132.506,251.0,83.0
372,43,0.682,0.923,8,-5.048,0.0591,0.436,0.0,0.358,0.734,115.98,715.0,179.0
278,0,0.543,0.928,7,-4.922,0.0568,0.000278,1.77e-06,0.34,0.298,100.01,462.0,115.0
361,45,0.507,0.615,1,-10.687,0.148,0.0202,0.521,0.115,0.142,122.89,722.0,183.0
201,22,0.494,0.272,7,-6.678,0.0306,0.755,0.0,0.216,0.319,76.966,252.0,63.0
259,42,0.577,0.849,6,-4.483,0.0389,0.0709,0.0,0.133,0.932,185.957,804.0,200.0
190,28,0.66,0.559,9,-8.0,0.0356,0.484,3.65e-05,0.102,0.887,105.774,320.0,105.0
200,52,0.488,0.133,8,-15.865,0.0362,0.895,0.0,0.0595,0.289,128.123,403.0,101.0
256,2,0.522,0.383,4,-10.962,0.0285,0.714,1.67e-05,0.106,0.332,150.018,636.0,158.0
337,50,0.525,0.665,11,-5.225,0.0443,0.0727,0.0,0.314,0.503,119.894,670.0,168.0
380,49,0.8,0.699,7,-8.639,0.0353,0.0714,0.902,0.0927,0.282,123.997,783.0,195.0
232,60,0.631,0.879,6,-5.476,0.0324,0.329,0.000378,0.0805,0.847,156.12,603.0,150.0
196,10,0.198,0.538,9,-8.689,0.035,0.183,0.999,0.148,0.241,99.331,314.0,77.0
316,3,0.786,0.641,4,-7.249,0.0754,0.000559,0.451,0.0994,0.321,116.954,612.0,154.0
196,58,0.701,0.813,7,-5.097,0.0517,0.0735,0.0,0.274,0.797,99.117,321.0,107.0
239,45,0.877,0.681,9,-4.754,0.0346,0.261,3.08e-06,0.312,0.919,112.0,441.0,109.0
287,0,0.21,0.631,0,-11.921,0.0823,0.0539,0.829,0.14,0.153,199.885,927.0,234.0
128,16,0.157,0.94,11,-7.582,0.0966,0.00159,0.905,0.445,0.238,155.425,320.0,80.0
209,26,0.586,0.726,0,-4.743,0.0932,0.118,0.0,0.0384,0.559,172.224,590.0,146.0
139,41,0.81,0.701,11,-4.531,0.033,0.544,0.0,0.152,0.695,127.994,295.0,74.0
139,22,0.647,0.729,7,-7.56,0.0304,0.307,0.00324,0.142,0.925,111.764,247.0,62.0
330,2,0.57,0.874,4,-3.766,0.0529,0.0782,0.0645,0.0745,0.39,175.811,957.0,240.0
206,36,0.593,0.993,6,-5.461,0.103,0.0618,0.783,0.164,0.474,150.367,510.0,127.0
352,10,0.784,0.956,1,-9.748,0.0474,0.22,0.837,0.105,0.207,127.379,744.0,186.0
98,54,0.658,0.373,1,-12.473,0.0399,0.197,0.89,0.131,0.0372,107.995,172.0,42.0
290,0,0.468,0.699,9,-6.992,0.133,0.0514,0.252,0.107,0.222,163.239,618.0,155.0
244,21,0.759,0.927,7,-3.969,0.051,0.0145,0.39,0.0639,0.655,127.001,515.0,130.0
282,15,0.245,0.679,7,-6.741,0.0691,0.0332,0.00659,0.175,0.263,110.423,462.0,153.0
210,53,0.574,0.521,6,-5.912,0.0344,0.751,0.0,0.109,0.262,137.88,474.0,119.0
428,25,0.248,0.683,2,-12.139,0.113,0.000932,0.0344,0.394,0.0398,95.483,760.0,190.0
261,23,0.655,0.486,9,-10.748,0.0258,0.785,0.000255,0.0854,0.802,104.997,452.0,112.0
232,49,0.574,0.298,9,-12.637,0.0263,0.902,0.0,0.107,0.301,80.017,303.0,75.0
125,0,0.301,0.263,9,-9.867,0.028,0.31,0.158,0.144,0.212,106.886,224.0,56.0
204,58,0.509,0.656,6,-7.574,0.0327,0.0315,2.12e-06,0.102,0.409,138.057,459.0,114.0
